X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-79.369346979229533,43.649812685118157,127907976,9999999990,AIDS Bureau,CBAESP,2-Spirited People of the 1st Nations,,,,145 Front Street East,Unit 105,Practice Location,Toronto,M5A1E3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753601
-79.384046585195748,43.664336886987599,127907977,9999999991,AIDS Bureau,CBAESP,Action Positive VIH-SIDA,,,,543 Yonge Street,4th floor,Practice Location,Toronto,M4Y1Y5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753602
-79.377200281750291,43.649990284785474,127907978,9999999992,AIDS Bureau,CBAESP,African and Caribbean Council on HIV/AIDS in Ontario,,,,20 Victoria Street,4th floor,Practice Location,Toronto,M5C2N8,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753603
-79.364551578126054,43.654664286192506,127907979,9999999993,AIDS Bureau,CBAESP,Africans in Partnership Against AIDS,,,,526 Richmond Street East,2nd Floor,Practice Location,Toronto,M5A1R3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753604
-79.375082982627603,43.667649687984806,127907980,9999999994,AIDS Bureau,CBAESP,AIDS Bereavement & Resiliency Project of Ontario (c/o Fife House),,,,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753605
-80.46006040675681,43.437803896595526,127907981,9999999995,AIDS Bureau,CBAESP,"AIDS Committee of Cambridge, Kitchener, Waterloo and Area",,,,1770 King Street East,Unit 5,Practice Location,Kitchener,N2G2P1,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753606
-78.86476003956615,43.897589051816134,127907982,9999999996,AIDS Bureau,CBAESP,AIDS Committee of Durham Region,,,,22 King Street West,Suite 202,Practice Location,Oshawa,L1H1A3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753607
-79.466424764874233,46.312960530300806,127907983,9999999997,AIDS Bureau,"CBAESP, HCV Team",AIDS Committee of North Bay and Area,,,,269 Main Street West,Suite 201,Practice Location,North Bay,P1B2T8,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753608
-75.680990932151545,45.414621054419278,127907984,9999999998,AIDS Bureau,CBAESP,AIDS Committee of Ottawa,,,,19 Main Street,,Practice Location,Ottawa,K1S1A9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753609
-89.216005858202351,48.438355966550269,127907985,9999999999,AIDS Bureau,"CBAESP, HCV Team, HIV Outpatient Clinic",AIDS Committee of Thunder Bay (operating as Elevate Northwestern Ontario),,,,106 Cumberland Street North,Unit 102,Practice Location,Thunder Bay,P7A4M2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753610
-79.384046585195748,43.664336886987599,127907986,10000000000,AIDS Bureau,CBAESP,AIDS Committee of Toronto,,,,543 Yonge Street,4th floor,Practice Location,Toronto,M4Y1Y5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753611
-83.038421108924197,42.314647572443633,127907987,10000000001,AIDS Bureau,CBAESP,AIDS Committee of Windsor,,,,511 Pelissier Street,,Practice Location,Windsor,N9A4L2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753612
-79.440579323612084,43.893989624537276,127907988,10000000002,AIDS Bureau,CBAESP,AIDS Committee of York Region,,,,10909 Yonge Street,Unit 203,Practice Location,Richmond Hill,L4C3E3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753613
-84.314835753692321,46.532372802828029,127907989,10000000003,AIDS Bureau,AT site,Algoma Public Health,,,,294 Willow Avenue,,Practice Location,Sault Ste. Marie,P6B0A9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753614
-79.376405482610352,43.662657387046927,127907990,10000000004,AIDS Bureau,CBAESP,Alliance for South Asian AIDS Prevention,,,,120 Carlton Street,Suite 315,Practice Location,Toronto,M5A4K3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753615
-87.958932850765152,49.602610111745818,127907991,10000000005,AIDS Bureau,CBAESP,Animbiigoo Zaagi'igan Anishinaabek (Lake Nipigon Ojibway),,,,204 Main Street,Postal Office Box 120,Practice Location,Beardmore,P0T1G0,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753616
-79.397890988520587,43.651931384167291,127907992,10000000006,AIDS Bureau,CBAESP,Asian Community AIDS Services,,,,260 Spadina Avenue,Unit 410,Practice Location,Toronto,M5T2E4,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753617
-81.242439412698388,42.990000480224353,127907993,10000000007,AIDS Bureau,CBAESP,Association of Iroquois and Allied Indians,,,,387 Princess Avenue,,Practice Location,London,N6B2A7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753618
-79.38763638610196,43.661620486344226,127907994,10000000008,AIDS Bureau,AT site,Bay Centre for Birth Control,,,,76 Grenville Street,3rd Floor,Practice Location,Toronto,M5S1B2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753619
-79.457475612995026,43.713920192273605,127907995,10000000009,AIDS Bureau,AT site,Birth Control & Venereal Disease Information Centre,,,,960 Lawrence Avenue West,Suite 403,Practice Location,Toronto,M6A3B5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753620
-79.377200281750291,43.649990284785474,127907996,10000000010,AIDS Bureau,CBAESP,Black Coalition for AIDS Prevention,,,,20 Victoria Street,4th Floor,Practice Location,Toronto,M5C2N8,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753621
-80.274408722686459,43.151835755027442,127907997,10000000011,AIDS Bureau,AT site,Brant County Health Unit,,,,194 Terrace Hill Street,,Practice Location,Brantford,N3R1G7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753622
-75.69685423755466,45.416307254039175,127907998,10000000012,AIDS Bureau,CBAESP,Bruce House,,,,251 Bank Street,Suite 402,Practice Location,Ottawa,K2P1X3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753623
-79.402312189441119,43.646365382984719,127907999,10000000013,AIDS Bureau,"CBAESP, HCV Team",Canadian AIDS Treatment Information Exchange,,,,555 Richmond Street West,"Suite 505, Postal Office Box 1104",Practice Location,Toronto,M5V3B1,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753624
-75.733421146874804,45.383317746863668,127908000,10000000014,AIDS Bureau,AT site,Carlington Community and Health Services,,,,900 Merivale Road,2nd floor,Practice Location,Ottawa,K1Z5Z8,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753625
-79.378910283952365,43.668828288014282,127908001,10000000015,AIDS Bureau,CBAESP,Casey House,,,,119 Isabella Street,,Practice Location,Toronto,M4Y1P2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753626
-79.404227190071509,43.646588782935126,127908002,10000000016,AIDS Bureau,AT site,Central Toronto Community Health Centres,,,,168 Bathurst Street,,Practice Location,Toronto,M5V2R4,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753627
-79.376405482610352,43.662657387046927,127908003,10000000017,AIDS Bureau,CBAESP,Centre for Spanish-Speaking Peoples,,,,120 Carlton Street,Suite 201,Practice Location,Toronto,M5A4K3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753628
-79.402312189441119,43.646365382984719,127908004,10000000018,AIDS Bureau,"CBAESP, AT Site",Centre francophone de Toronto,,,,555 Richmond Street West,Postal Office Box 600,Practice Location,Toronto,M5V3B1,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753629
-75.697757837782518,45.415462253856823,127908005,10000000019,AIDS Bureau,AT site,Centretown Community Health Centre,,,,420 Cooper Street,,Practice Location,Ottawa,K2P2N6,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753630
-82.175187250940823,42.40645793143679,127908006,10000000020,AIDS Bureau,AT site,Chatham-Kent Public Health Unit,,,,177 King Street East,Suite 2,Practice Location,Chatham-Kent,N7M3N1,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753631
-75.651281821137857,45.400910453327086,127908007,10000000021,AIDS Bureau,HIV Outpatient Clinic,"Children's Hospital of Eastern Ontario, Division of Infectious Diseases, Room 3002",,,,401 Smyth Road,,Practice Location,Ottawa,K1W1C2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753632
-81.022545225039067,44.90714242063202,127908008,10000000022,AIDS Bureau,CBAESP,Chippewas of Nawash First Nation,,,,135 Lakeshore Boulevard,Chippewas of Nawash Health Centre,Practice Location,Wiarton,N0H2T0,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753633
-79.871118604426499,43.25785819268836,127908009,10000000023,AIDS Bureau,"CBAESP, AT Site","City of Hamilton, Infectious Diseases Program",,,,110 King Street West,"4th Floor, Public Health",Practice Location,Hamilton,L8P4S6,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753634
-75.69009283651954,45.430514856749241,127908010,10000000024,AIDS Bureau,CBAESP,"City of Ottawa, Ottawa Public Health",,,,179 Clarence Street,,Practice Location,Ottawa,K1N5P7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753635
-79.379376983019981,43.656535685834193,127908011,10000000025,AIDS Bureau,CBAESP,"City of Toronto, Toronto Public Health",,,,277 Victoria Street,5th Floor,Practice Location,Toronto,M5B1W2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753636
-78.844787230682158,43.869277447772618,127908012,10000000026,AIDS Bureau,HCV Team,Durham Community Health Centre (operating as Carea Community Health Centre),,,,115 Grassmere Avenue,,Practice Location,Oshawa,L1H3X7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753637
-78.878954743404748,43.889441049739268,127908013,10000000027,AIDS Bureau,AT site,Durham Region Health Department,,,,419 King Street West,"Suite 180, Office Galleria",Practice Location,Oshawa,L1J2K5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753638
-81.150862765147906,42.777782247058632,127908014,10000000028,AIDS Bureau,AT site,Elgin St. Thomas Public Health,,,,1230 Talbot Street,,Practice Location,Saint Thomas,N5P1G9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753639
-79.445263203771603,43.653565782255683,127908015,10000000029,AIDS Bureau,CBAESP,Family Service Toronto,,,,128 Sterling Road,,Practice Location,Toronto,M6R2B7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753640
-79.375082982627603,43.667649687984806,127908016,10000000030,AIDS Bureau,CBAESP,Fife House,,,,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753641
-79.376511382501519,43.661035086757188,127908017,10000000031,AIDS Bureau,CBAESP,Gay Men's Sexual Health Alliance c/o Ontario AIDS Network,,,,296 Jarvis Street,Unit  5,Practice Location,Toronto,M5B2C5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753642
-79.695812449924659,44.383656097178445,127908018,10000000032,AIDS Bureau,CBAESP,Gilbert Centre for Social and Support Services,,,,80 Bradford Street,Suite 555,Practice Location,Barrie,L4N6S7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753643
-79.362522377609295,43.656151086547645,127908019,10000000033,AIDS Bureau,CBAESP,Good Shepherd Refuge Social Ministries (Barrett House),,,,412 Queen Street East,,Practice Location,Toronto,M5A1T3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753644
-84.316069252840705,46.522236701189982,127908020,10000000034,AIDS Bureau,"CBAESP, HCV Team","Group Health Centre, Sault Ste. Marie and District",,,,240 McNabb Street,,Practice Location,Sault Ste. Marie,P6B1Y5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753645
-79.784579385394792,43.354044113727184,127908021,10000000035,AIDS Bureau,AT site,Halton Region Health Department,,,,3350 Fairview Street,,Practice Location,Burlington,L7N3L5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753646
-79.917469719252594,43.259494990815647,127908022,10000000036,AIDS Bureau,HIV Outpatient Clinic,"Hamilton Health Sciences, SIS Clinic",,,,1200 Main Street West,"Room 1S1, McMaster University Health Centre",Practice Location,Hamilton,L8N3Z5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753647
-79.378802283145447,43.660047086477498,127908023,10000000037,AIDS Bureau,"CBAESP, AT Site",Hassle Free Clinic,,,,66 Gerrard Street East,Suite 200,Practice Location,Toronto,M5B1G3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753648
-77.391694189216011,44.186703968450914,127908024,10000000038,AIDS Bureau,AT site,Hastings & Prince Edward Counties Health Unit,,,,179 North Park Street,,Practice Location,Belleville,K8P4P1,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753649
-79.374171782079827,43.664727487513964,127908025,10000000039,AIDS Bureau,HIV Outpatient Clinic,"Health Centre at 410, Family Health Team",,,,410 Sherbourne Street,4th Floor,Practice Location,Toronto,M4X1K2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753650
-81.008261585145604,46.473631277230375,127908026,10000000040,AIDS Bureau,HIV Outpatient Clinic,"Health Sciences North, The HAVEN Program",,,,865 Regent Street South,,Practice Location,Sudbury,P3E3Y9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753651
-79.409884701838394,43.759461502464873,127908027,10000000041,AIDS Bureau,CBAESP,Hemophilia Ontario,,,,4711 Yonge Street,"Suite 10100, 10th Floor",Practice Location,Toronto,M2N6K8,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753652
-79.383951683617425,43.646731783900201,127908028,10000000042,AIDS Bureau,CBAESP,HIV & AIDS Legal Clinic (Ontario),,,,55 University Avenue,Suite 1400,Practice Location,Toronto,M5J2H7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753653
-76.508928306442613,44.239849115793199,127908029,10000000043,AIDS Bureau,CBAESP,HIV/AIDS Regional Services,,,,844 Princess Street,Unit A,Practice Location,Kingston,K7L1G5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753654
-80.268981356374667,43.549977525356759,127908030,10000000044,AIDS Bureau,"CBAESP, HIV Outpaitient Clinic",HIV/AIDS Resources and Community Health,,,,77 Westmount Road,Unit 110,Practice Location,Guelph,N1H5J1,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753655
-79.395979392748274,43.706841793891797,127908031,10000000045,AIDS Bureau,CBAESP,Hospice Toronto,,,,55 Eglinton Avenue East,Suite 502,Practice Location,Toronto,M4P1G8,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753656
-76.485920398200719,44.23085591518457,127908032,10000000046,AIDS Bureau,HIV Outpatient Clinic,"Hotel Dieu Hospital, Infection & Immunology Clinic",,,,166 Brock Street,Jm3-045,Practice Location,Kingston,K7L5G2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753657
-78.866838740305752,43.898419851866244,127908034,10000000048,AIDS Bureau,CBAESP,John Howard Society of Durham Region,,,,75 Richmond Street West,,Practice Location,Oshawa,L1G1E3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753659
-76.491432802612238,44.262753920562766,127908035,10000000049,AIDS Bureau,"CBAESP, HCV Team",Kingston Community Health Centres,,,,263 Weller Avenue,,Practice Location,Kingston,K7K2V4,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753660
-76.525210810772109,44.227873512996233,127908036,10000000050,AIDS Bureau,AT site,"Kingston, Frontenac and Lennox & Addington Public Health Unit",,,,221 Portsmouth Avenue,,Practice Location,Kingston,K7M1V5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753661
-78.943895061212842,43.855088640745102,127908037,10000000051,AIDS Bureau,CBAESP,Lakeridge Health,,,,300 Gordon Street,Positive Care Clinic,Practice Location,Whitby,L1N5T2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753662
-78.888595645145273,43.874019946597137,127908038,10000000052,AIDS Bureau,"HCV Team, HIV Outpaitient Clinic","Lakeridge Health, Positive Care Clinic",,,,850 Champlain Avenue,Suite 1,Practice Location,Oshawa,L1J8R2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753663
-79.375901781364675,43.650315784902851,127908039,10000000053,AIDS Bureau,CBAESP,LOFT Community Services,,,,15 Toronto Street,9th floor,Practice Location,Toronto,M5C2E3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753664
-81.229743808634822,42.989024780665915,127908040,10000000054,AIDS Bureau,"CBAESP, HCV Team, AT Site",London Intercommunity Health Centre,,,,659 Dundas Street East,,Practice Location,London,N5W2Z1,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753665
-79.36404927803585,43.655461886355866,127908041,10000000055,AIDS Bureau,CBAESP,Maggie’s: Toronto Sex Workers Action Project,,,,351 Queen Street East,Postal Office Box 82527,Practice Location,Toronto,M5A1T2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753666
-81.254034315561881,42.981446678154143,127908042,10000000056,AIDS Bureau,AT site,Middlesex-London Health Unit,,,,50 King Street,,Practice Location,London,N6A5L7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753667
-79.38999278649311,43.657522085515339,127908044,10000000058,AIDS Bureau,HIV Outpatient Clinic,"Mount Sinai Hospital, Clinic for HIV-Related Concerns",,,,600 University Avenue,"Room 963, Dept. of Psychiatry",Practice Location,Toronto,M5G1X5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753669
